"","logFC","logCPM","LR","PValue","FDR"
"FAM13AOS",2.79734061719394,2.6348997798771,232.251536662809,1.92455422569584e-52,2.43205542058036e-51
"FAM150B",1.79686245436242,3.91920167132452,52.6919351619034,3.90190052063048e-13,9.3856015267797e-13
"FAM151A",-4.17795889050654,5.3776143932844,336.860732683523,3.08004009631545e-75,9.50093527846871e-74
"FAM153A",3.95498592277756,2.26819881454719,137.37246530292,9.99614444962735e-32,5.40590040490011e-31
"FAM153B",3.78037344372191,0.813087943942086,136.225458618578,1.78113513859159e-31,9.51492736818792e-31
"FAM156A",1.7142964955765,5.25081673365256,169.016311946289,1.21343728914465e-38,8.55608242828496e-38
"FAM163A",3.58083193028006,0.501830957981112,260.617197610053,1.25887440488211e-58,2.09563907914397e-57
"FAM167A",-3.4806003560621,2.86104690457608,557.650179143677,2.72763332849328e-123,3.33106630829683e-121
"FAM169A",-2.62172681974739,3.0911721184128,332.516765251507,2.72043740459595e-74,8.106359378215e-73
"FAM171A1",-2.12730884889085,5.51994234153445,647.868191062034,6.49738747084366e-143,1.21005719910125e-140
"FAM171A2",-1.36452328409579,1.21044410900723,99.6375582148153,1.83000900038716e-23,6.96965851144384e-23
"FAM182B",1.61077153098865,0.791395323663781,122.103605778106,2.1909273794592e-28,1.02779052350638e-27
"FAM184A",-1.72869357820502,1.62194920189027,229.399632325707,8.05885776515028e-52,9.95596366857164e-51
"FAM18A",1.77033174984408,0.661192378065402,154.084702525967,2.21931045792522e-35,1.38233722878879e-34
"FAM190A",-2.60367843783513,1.35504812222017,419.367249064213,3.35098307114319e-93,1.82880207974221e-91
"FAM193B",1.8065020134748,5.88741801609619,163.216889412433,2.24305040594065e-37,1.50876785544514e-36
"FAM196B",1.32113360837244,1.77011127836301,25.6794090177599,4.0310525662884e-07,7.06572378648598e-07
"FAM198A",-1.3963566235755,0.208746911437096,118.830351369135,1.14080801124872e-27,5.22178143151913e-27
"FAM198B",1.31133059585348,6.85932885872607,102.131691096994,5.1950765323794e-24,2.02515555353011e-23
"FAM19A5",1.49936137696071,2.34293318502659,62.7545256466811,2.34142953442425e-15,6.28444579956529e-15
"FAM26F",3.22671782072348,3.78728139272588,244.809902539235,3.51539743354603e-55,4.96925107802678e-54
"FAM38B",2.44643524276341,4.38738628598433,207.664544935402,4.44026795653687e-47,4.47299204086835e-46
"FAM3B",-4.07847265906024,2.19870727736457,309.188345794863,3.28124631115481e-69,8.13432425788611e-68
"FAM43B",-1.7785747752927,0.922176546006104,126.601235682201,2.27115558804107e-29,1.11309036533631e-28
"FAM46B",-2.79625107111454,2.595291061405,400.831849239883,3.62954341293199e-89,1.73322331119467e-87
"FAM49A",1.95958628510229,2.62142422403204,279.461427417027,9.83922361568622e-63,1.91376752806931e-61
"FAM54A",2.25463024305463,0.173738259716472,199.231571703159,3.07271108103945e-45,2.85235653560167e-44
"FAM57A",1.69856935312719,4.80258068640109,227.008582799386,2.67755870314746e-51,3.23543772248126e-50
"FAM57B",6.46348062906198,0.188153355502846,103.145817012495,3.11366340900959e-24,1.22628789666492e-23
"FAM63B",-1.01024796452037,4.30724394052266,121.504022856196,2.96399730325059e-28,1.38217827296183e-27
"FAM64A",2.65906578149545,0.760104708047651,186.838372644225,1.55767113281946e-42,1.29942565553624e-41
"FAM65B",1.18058294180708,4.11916501206664,96.2420002529202,1.01665128736907e-22,3.75020736085955e-22
"FAM70A",2.07587404840035,3.94892563492031,42.567528405878,6.82836012753737e-11,1.47016961763265e-10
"FAM70B",1.53914785571325,3.12861403977198,171.539962687166,3.41060900275842e-39,2.46075852455679e-38
"FAM72B",2.20781790786281,0.99045434529593,227.179358472494,2.45750067993861e-51,2.97435439727094e-50
"FAM78A",2.45237222039017,3.80768465928006,474.970297576152,2.65587472000783e-105,1.9884360529345e-103
"FAM78B",1.76166817451469,0.886849098075948,131.21663822465,2.22006509127071e-30,1.13548746291941e-29
"FAM81A",-2.50291141631314,2.34639876184061,498.1450211609,2.40756341287209e-110,1.98178382808736e-108
"FAM83B",-3.66594395890724,0.736647065015234,98.1548657332905,3.86908871950117e-23,1.45790472513525e-22
"FAM83F",-1.48774331065232,2.11608340923734,22.5305887456516,2.06823859960722e-06,3.4650496902674e-06
"FAM83G",-1.485634439312,2.14438946050609,73.9662854798933,7.94626747357422e-18,2.39368053151602e-17
"FAM95B1",2.26699424135793,1.35029128975156,128.58786868463,8.34689631761426e-30,4.17036915614135e-29
"FANCA",2.13600520163049,2.7606263959541,169.772489870941,8.29577871979967e-39,5.91099029872288e-38
"FANCI",1.69170639099827,3.93075887070693,275.54433720954,7.02408323420366e-62,1.32303180918332e-60
"FANCL",1.0317441721612,3.60832935113194,176.009230855111,3.60429331789894e-40,2.6985108614762e-39
"FAP",1.80137344124651,3.2147531641309,65.1356042627823,6.99173467950162e-16,1.91629608149181e-15
"FAR2",1.32582992855412,2.81524758295413,174.676860725194,7.04323780790633e-40,5.21038729394222e-39
"FASLG",4.13176116574876,1.64162742586872,275.447539329241,7.37368862523412e-62,1.38712862155762e-60
"FAS",1.40702236423267,5.15558103126343,275.170093004023,8.47517686288226e-62,1.58832276830293e-60
"FAT2",-2.09225167290436,0.943637585865241,181.002445330431,2.92785198612636e-41,2.30074191673505e-40
"FATE1",4.37759523801675,0.877713471209423,363.85517201408,4.07514978993264e-81,1.50659197816889e-79
"FBLN1",-1.6916640623474,5.52072038248507,127.240871011753,1.64540986870768e-29,8.09609036785857e-29
"FBLN5",-1.70891838647796,6.44109028702547,152.063310128604,6.13746579446672e-35,3.75840948918042e-34
"FBLN7",2.31140586908692,3.21097831868044,135.539716531566,2.51584661908456e-31,1.33583744753175e-30
"FBP1",-2.52376980939986,6.02903497423001,401.682207170472,2.36996098382912e-89,1.14643015253474e-87
"FBXL16",1.34575892536374,6.15124022570052,60.9996045039538,5.70862757191675e-15,1.50376312224165e-14
"FBXL21",1.76953946132646,1.5964634463061,29.812295519263,4.75963801349784e-08,8.85537546991812e-08
"FBXL8",1.54367000166673,2.77055630153524,231.888156152843,2.30979997678293e-52,2.91148137513442e-51
"FBXO17",1.46197711710842,6.73833553669168,213.384865603128,2.50848481139563e-48,2.67147356718967e-47
"FBXO2",-2.86579461605308,3.51578284656693,308.212557326386,5.35316491545192e-69,1.30963553489849e-67
"FBXO41",1.97714791007406,3.19352324807883,112.36285412269,2.97551578011152e-26,1.28872702348493e-25
"FCAMR",-1.43949165657164,3.96889686791133,38.98665295246,4.26712962243749e-10,8.8756057859411e-10
"FCER1G",2.72670297329285,5.59098375475583,329.858668698935,1.03173823039584e-73,2.9906357771727e-72
"FCGBP",-1.81536006966681,6.40069486235857,108.325957226691,2.28018708522323e-25,9.45782499519512e-25
"FCGR1A",3.64984425716722,3.56179954596749,318.705977344573,2.77184632400844e-71,7.38778861921318e-70
"FCGR1B",3.43453143603505,3.39553515303747,337.738240480134,1.98356460734012e-75,6.15690189265842e-74
"FCGR1C",3.62728136766987,1.99809416939057,359.614960055202,3.4152729851057e-80,1.22024345815563e-78
"FCGR2A",2.0186287244036,6.35828062934501,246.869091497203,1.25032486139288e-55,1.79986377873357e-54
"FCGR2B",2.175293548088,3.93029888247539,129.14350343135,6.30882065037053e-30,3.17336660600508e-29
"FCGR2C",2.54397860563391,2.70908633660256,198.817477922453,3.78345365778927e-45,3.49687816671231e-44
"FCGR3A",3.47839781169115,7.63576076371928,342.027387404039,2.30858303629927e-76,7.3810254630521e-75
"FCGR3B",1.82530197638516,2.14068365687775,52.7930801923986,3.7060465908996e-13,8.92458189070845e-13
